sender_upi_id,sender_bank,sender_account_age_days,total_txn_24h,unique_receivers_24h,total_amount_sent_24h,avg_txn_amount,rapid_txn_flag,repeated_amount_flag,night_activity_flag,cross_bank_flag,is_suspicious_sender
S59@upi,ICICI,318,1,1,4312.14705185021,1631.2426981796639,0,0,1,0,0
S60@upi,ICICI,288,30,11,52355.09633915535,1485.7458920488207,1,1,0,1,1
S61@upi,HDFC,157,5,2,22415.32055222823,1649.5886004255003,0,0,0,0,0
S62@upi,AXIS,141,4,1,4781.2812238074575,4485.44108874998,0,0,0,1,0
S63@upi,HDFC,8,4,1,11871.14275481872,1093.9245128390191,0,0,1,0,0
S64@upi,SBI,91,2,2,4242.966273124794,4251.4879002104835,0,0,1,1,0
S65@upi,ICICI,175,3,1,7769.338627619094,2743.364469201369,0,0,0,1,0
S66@upi,HDFC,108,1,1,4663.491392576899,1047.210694473781,0,0,0,1,0
S67@upi,YBL,212,4,2,6487.140493837946,1852.061224291786,0,0,1,0,0
S68@upi,ICICI,126,19,15,76010.19359757882,4706.603887193714,1,1,0,1,1
S69@upi,HDFC,80,5,2,5301.477106897781,1468.524765175542,0,0,0,0,0
S70@upi,SBI,341,23,15,87977.90930874883,3646.08662757696,1,1,0,0,1
S71@upi,YBL,121,5,1,7870.474601651335,1342.273392432524,0,0,0,0,0
S72@upi,HDFC,55,2,2,2252.536098179873,4473.708932670133,0,0,0,0,0
S73@upi,ICICI,268,22,19,105313.40200500372,1288.1196213126836,1,1,0,1,1
S74@upi,ICICI,203,5,2,14382.405634120936,4522.600585515567,0,0,0,0,0
S75@upi,SBI,22,24,10,103785.1337485826,4324.373845559325,1,1,1,1,1
S76@upi,SBI,51,4,2,14168.671830069157,4335.9560541714,0,0,0,1,0
S77@upi,HDFC,170,4,1,17521.281026013028,3925.480044962706,0,0,1,1,0
S78@upi,AXIS,228,3,1,8758.64958048159,3374.2168981976106,0,0,0,0,0
S79@upi,HDFC,211,1,2,4550.012610049699,4472.795709909911,0,0,1,0,0
S80@upi,HDFC,129,2,1,9190.475778908734,4094.5542642816126,0,0,0,0,0
S81@upi,SBI,87,2,1,5920.489074336425,1810.2811797249242,0,0,0,1,0
S82@upi,SBI,83,5,2,17339.58319332079,1185.7004866543623,0,0,0,0,0
S83@upi,ICICI,344,3,1,14143.176357363505,2254.4298552966156,0,0,0,0,0
S84@upi,ICICI,179,3,2,14947.75364937729,1848.8205848285374,0,0,1,1,0
S85@upi,YBL,58,4,1,14512.596325317762,2848.9180914928975,0,0,0,0,0
S86@upi,AXIS,177,1,1,2681.546360803942,2343.547249919003,0,0,0,1,0
S87@upi,YBL,140,24,18,63458.41833985209,4957.5299290921885,1,1,0,1,1
S88@upi,HDFC,258,25,8,68699.35272552643,4480.05337078259,1,1,0,1,1
S89@upi,YBL,202,1,1,3256.2397940233222,3623.767798611529,0,0,0,0,0
S90@upi,ICICI,77,3,2,3922.12391051785,1804.4971790681775,0,0,0,0,0
S91@upi,HDFC,212,26,8,127096.24488877038,4114.198679543308,1,1,0,1,1
S92@upi,AXIS,334,27,19,32453.929189295974,3838.700379517664,1,1,1,1,1
S93@upi,SBI,27,1,1,3858.1461164554585,2814.565580072772,0,0,0,0,0
S94@upi,HDFC,99,28,9,54074.236197828126,4663.156597993206,1,1,1,0,1
S95@upi,AXIS,27,4,1,13636.900983788868,4726.983428370944,0,0,0,1,0
S96@upi,YBL,10,4,2,10022.02233898866,1599.8924020056297,0,0,0,0,0
S97@upi,HDFC,17,5,1,6673.58551246124,4009.6938152899397,0,0,1,0,0
S98@upi,SBI,209,5,1,20724.019159917472,3350.428810939709,0,0,1,1,0
S99@upi,HDFC,227,5,2,5839.828638290974,1321.9526556580222,0,0,0,1,0
S100@upi,SBI,288,2,2,7243.5483761193545,3309.1866755712995,0,0,0,0,0
S101@upi,ICICI,249,1,2,1039.9168402346297,3778.723150201999,0,0,0,1,0
S102@upi,SBI,111,3,1,5793.805317480018,3952.6079591852354,0,0,0,0,0
S103@upi,SBI,53,1,1,4711.687087412464,2848.488530414063,0,0,0,0,0
S104@upi,HDFC,67,1,2,3242.051695521629,4863.059835590895,0,0,1,0,0
S105@upi,SBI,360,37,11,136044.1399211128,3946.1069492898046,1,1,0,0,1
S106@upi,HDFC,244,36,8,155445.18007281813,3955.398340032297,1,1,1,0,1
S107@upi,ICICI,27,1,2,2185.0781336653617,1509.1020703444124,0,0,1,1,0
S108@upi,SBI,335,4,1,13918.106310789517,4224.082340118804,0,0,0,0,0
S109@upi,SBI,172,4,1,9534.263826028413,3415.6026690972194,0,0,0,0,0
S110@upi,YBL,206,3,1,9998.757891707537,1233.7533868908754,0,0,1,0,0
S111@upi,YBL,138,33,18,135207.86094007143,3711.7016610543856,1,1,0,0,1
S112@upi,SBI,296,2,2,4540.273508255311,4801.084707918061,0,0,1,1,0
S113@upi,HDFC,23,24,9,111784.52396929303,4350.133274481279,1,1,1,0,1
S114@upi,YBL,185,36,18,164146.06593786782,3348.704609640102,1,1,0,1,1
S115@upi,YBL,279,5,1,24376.28406716134,2890.7494545632035,0,0,0,0,0
S116@upi,SBI,151,3,1,5377.608625388948,3036.8822466802667,0,0,1,1,0
S117@upi,SBI,129,2,1,6886.137628173952,4677.778730465811,0,0,0,0,0
S118@upi,YBL,147,27,17,87440.48177746215,2491.87765197229,1,1,0,1,1
S119@upi,HDFC,295,4,2,15164.523296153793,4601.270123646687,0,0,0,1,0
S120@upi,YBL,225,5,2,19196.306701407306,2543.0746551964685,0,0,0,1,0
S121@upi,YBL,157,22,9,85294.58922481794,4709.502126421148,1,1,1,0,1
S122@upi,SBI,247,39,12,125722.79678648726,3763.776407669471,1,1,1,1,1
S123@upi,YBL,168,1,1,1960.0060930622178,2817.4003536324863,0,0,1,1,0
S124@upi,AXIS,192,4,2,18085.928319937433,4058.1412841601896,0,0,0,0,0
S125@upi,YBL,84,2,2,4873.460553639656,1617.7150654826032,0,0,0,1,0
S126@upi,SBI,47,23,16,50594.663201524796,4183.957040506553,1,1,0,0,1
S127@upi,YBL,311,3,2,14961.830335198845,3197.0516013810634,0,0,0,1,0
S128@upi,ICICI,144,4,1,6567.295187165906,2084.435508900313,0,0,0,1,0
S129@upi,SBI,251,2,2,9995.074568529559,4180.017756074079,0,0,0,1,0
S130@upi,ICICI,222,3,2,8721.454940798783,1898.6847953103666,0,0,1,1,0
S131@upi,YBL,246,21,19,38284.913407872904,4647.713327104457,1,1,0,0,1
S132@upi,ICICI,329,39,13,149967.80538612587,3658.084902687954,1,1,1,0,1
S133@upi,ICICI,8,16,17,53698.77181767773,3966.1712831432155,1,1,0,0,1
S134@upi,ICICI,243,4,1,8988.881401759405,1804.7867203996736,0,0,0,0,0
S135@upi,AXIS,162,1,2,3148.923800330708,2194.823640741716,0,0,0,0,0
S136@upi,YBL,40,4,1,19819.75091284021,1862.1595334004728,0,0,0,0,0
S137@upi,SBI,124,5,1,20233.99889731921,3473.626815910366,0,0,1,0,0
S138@upi,HDFC,32,3,2,12397.44556896787,1497.5289898441133,0,0,0,0,0
S139@upi,ICICI,112,1,1,2911.3491858568595,4783.883344049304,0,0,0,0,0
S140@upi,AXIS,86,31,13,52149.14710106019,3284.4453321510846,1,1,1,1,1
S141@upi,SBI,140,22,14,47389.76093269006,1416.5085505672544,1,1,0,0,1
S142@upi,SBI,334,3,1,6392.748148596661,4195.671084863095,0,0,0,0,0
S143@upi,HDFC,63,2,2,8533.58108472158,3493.8163471734656,0,0,0,1,0
S144@upi,HDFC,352,3,2,3191.5407631400194,2723.5785210295226,0,0,1,0,0
S145@upi,AXIS,36,4,1,6515.727996484817,4959.840330065633,0,0,0,1,0
S146@upi,AXIS,238,32,19,127824.8717060125,2691.4847813580727,1,1,0,0,1
S147@upi,AXIS,341,1,1,3336.2332579464282,1247.165907456102,0,0,0,1,0
S148@upi,SBI,361,5,2,23149.212150781197,4586.906189037318,0,0,1,0,0
S149@upi,ICICI,102,33,19,125539.09534370486,2072.780141397716,1,1,0,1,1
S150@upi,HDFC,149,38,12,183954.96896354872,4176.270284926477,1,1,1,0,1
S151@upi,SBI,108,1,2,2623.8596464092125,4779.019533574474,0,0,0,1,0
S152@upi,AXIS,131,4,1,17657.56471823196,2348.253074571943,0,0,0,1,0
S153@upi,SBI,304,5,1,6453.460772557033,1920.7990097675643,0,0,0,1,0
S154@upi,YBL,180,5,1,21639.03459061217,1048.1212065721506,0,0,1,1,0
S155@upi,AXIS,343,4,2,6279.155243073399,2321.3221134247196,0,0,0,0,0
S156@upi,ICICI,283,2,1,7258.388826434317,4319.009190581287,0,0,0,1,0
S157@upi,AXIS,250,4,1,10977.510273838354,4166.658146853209,0,0,0,0,0
S158@upi,YBL,331,5,1,22669.86939365798,2619.523493765843,0,0,0,1,0
S159@upi,AXIS,58,5,1,8410.958018169815,4555.123200949809,0,0,0,0,0
S160@upi,ICICI,209,3,1,9464.229150844145,4055.27848464384,0,0,0,0,0
S161@upi,AXIS,293,5,2,24692.52825671374,3635.1120757334525,0,0,0,0,0
S162@upi,SBI,138,36,16,86458.45739143109,1876.1042942324839,1,1,0,1,1
S163@upi,YBL,267,3,1,7291.618447490798,1242.2244568300252,0,0,0,0,0
S164@upi,HDFC,139,1,1,4118.937559807175,4438.05923080763,0,0,0,1,0
S165@upi,YBL,112,31,17,124920.12710202353,3244.7583724925225,1,1,0,0,1
S166@upi,YBL,47,4,2,5258.367767244019,2694.863935791047,0,0,0,1,0
S167@upi,YBL,279,37,19,144488.74262161631,1172.9768631974605,1,1,0,0,1
S168@upi,HDFC,255,20,11,97435.05654713126,2302.4628458896123,1,1,0,0,1
S169@upi,HDFC,63,28,14,82350.43888787462,4336.402548229695,1,1,0,1,1
S170@upi,HDFC,201,4,1,10320.621911933036,1109.5870313526705,0,0,1,0,0
S171@upi,HDFC,83,5,1,21347.704026793854,3066.6459602498185,0,0,1,1,0
S172@upi,YBL,204,1,1,2716.184873509621,3404.701794656306,0,0,1,0,0
S173@upi,ICICI,339,4,1,16780.243283494216,3585.842853089902,0,0,0,0,0
S174@upi,HDFC,186,4,2,7031.506392549443,2693.4777210611583,0,0,0,1,0
S175@upi,SBI,7,29,16,50186.96841854286,2802.2759824324353,1,1,0,0,1
S176@upi,AXIS,261,4,1,16318.252385822378,3541.378492859309,0,0,0,0,0
S177@upi,ICICI,127,5,2,20367.907307341455,3266.6993275947343,0,0,0,0,0
S178@upi,AXIS,244,26,19,31284.31888948976,4794.125967844811,1,1,0,1,1
S179@upi,AXIS,84,3,2,11654.736148660319,4385.38022915259,0,0,0,0,0
S180@upi,AXIS,46,23,19,106517.21133873507,1828.4229851169478,1,1,0,1,1
S181@upi,AXIS,201,2,2,5188.377785837135,1572.7314441135754,0,0,1,1,0
S182@upi,ICICI,83,2,1,8069.046076483296,4579.300855895184,0,0,0,1,0
S183@upi,SBI,165,31,12,108529.34126947206,3659.8270627139095,1,1,0,0,1
S184@upi,ICICI,36,4,1,6016.251744792884,4300.269420975024,0,0,0,0,0
S185@upi,YBL,218,23,10,38778.44355548024,1691.6566578881648,1,1,0,1,1
S186@upi,ICICI,53,1,2,2458.572029642023,4673.923942137007,0,0,0,1,0
S187@upi,HDFC,201,25,18,90165.99040010148,3372.916244968038,1,1,0,0,1
S188@upi,AXIS,96,16,11,64921.17920244148,4361.917804101192,1,1,1,1,1
S189@upi,AXIS,230,2,2,5401.992339953018,4658.106478516983,0,0,0,1,0
S190@upi,SBI,282,18,8,79940.66660637654,1646.5877763248327,1,1,0,1,1
S191@upi,YBL,37,4,2,7021.6603016916415,1558.1668777349194,0,0,0,1,0
S192@upi,YBL,243,1,1,3204.8836427316196,1830.8060191811321,0,0,0,0,0
S193@upi,ICICI,159,30,17,143348.56979293432,2388.2878544622117,1,1,1,0,1
S194@upi,SBI,103,3,1,4546.286374939733,2229.414561144431,0,0,1,0,0
S195@upi,ICICI,289,30,8,146431.40207045467,4330.5429617233285,1,1,0,1,1
S196@upi,SBI,72,4,1,15391.934005069546,3874.8437567692436,0,0,0,0,0
S197@upi,HDFC,262,1,1,3116.4778716446913,2872.1652543294044,0,0,1,1,0
S198@upi,YBL,180,4,1,7956.8459343106215,3548.7412365125556,0,0,0,1,0
S199@upi,YBL,364,1,2,1918.041942959297,4205.503533883317,0,0,1,1,0
S200@upi,ICICI,346,30,9,71796.27022144305,2740.484338598674,1,1,0,0,1
S201@upi,SBI,278,3,2,3652.6903066693203,3836.314829385191,0,0,1,0,0
S202@upi,ICICI,228,20,9,60234.52543633205,4499.469346545959,1,1,1,0,1
S203@upi,ICICI,86,4,2,18103.33788135674,2857.964374731756,0,0,0,1,0
S204@upi,ICICI,91,1,1,1962.3014988183763,4653.3351984278925,0,0,1,0,0
S205@upi,SBI,338,4,1,9186.437002638078,3990.7502156148157,0,0,1,1,0
S206@upi,SBI,137,1,2,2326.0376706739203,1528.4972410673388,0,0,0,1,0
S207@upi,SBI,132,20,19,22203.30229259825,2260.3563111928243,1,1,0,0,1
S208@upi,HDFC,106,4,1,10197.297515483944,3671.0992586639204,0,0,0,1,0
S209@upi,ICICI,207,36,9,132742.92155236323,3597.1430007736276,1,1,0,1,1
S210@upi,HDFC,356,21,15,56817.843332500175,4900.555960655336,1,1,0,0,1
S211@upi,ICICI,26,2,1,2523.25661880226,3962.5724372746113,0,0,0,1,0
S212@upi,SBI,289,36,10,84536.15028653429,4633.261004725768,1,1,0,1,1
S213@upi,SBI,263,2,2,7119.757606269471,1724.351586777694,0,0,0,0,0
S214@upi,ICICI,189,1,1,2247.6753753414814,2678.0066996237338,0,0,1,0,0
S215@upi,AXIS,243,30,10,59343.12515384075,2367.285073340691,1,1,1,0,1
S216@upi,SBI,231,39,9,117939.79171699782,1070.8455714685963,1,1,1,0,1
S217@upi,ICICI,254,1,1,3539.3597714924726,3655.3784945998223,0,0,0,1,0
S218@upi,YBL,104,2,1,3132.0511137647413,3759.0495058040547,0,0,0,1,0
S219@upi,HDFC,171,17,15,50529.04428886945,2166.52922907805,1,1,0,1,1
S220@upi,ICICI,327,5,2,20157.550830436285,4630.054850877261,0,0,0,0,0
S221@upi,ICICI,249,2,1,7289.972391532767,1511.0004092787403,0,0,0,1,0
S222@upi,HDFC,83,5,1,19888.862232917054,4553.773219563716,0,0,0,0,0
S223@upi,YBL,274,4,2,14246.499630535342,1882.858506001577,0,0,0,0,0
S224@upi,ICICI,83,3,1,4845.012091127357,3612.1180933746364,0,0,1,0,0
S225@upi,SBI,199,1,1,2882.2983785776087,1399.7327597152328,0,0,1,0,0
S226@upi,ICICI,162,3,1,6751.439745042939,2098.7043833929147,0,0,0,1,0
S227@upi,HDFC,247,25,17,25326.793776207713,4700.768700824136,1,1,1,0,1
S228@upi,ICICI,187,5,2,7446.864317048834,2892.4300844513323,0,0,0,0,0
S229@upi,SBI,273,4,1,9803.819995902215,3646.0761112376563,0,0,0,1,0
S230@upi,ICICI,292,5,1,20351.373800067908,2752.4432811784,0,0,0,0,0
S231@upi,YBL,148,4,1,11644.96492729694,3371.5329588552827,0,0,1,1,0
S232@upi,SBI,262,4,2,19202.415306189017,4111.66155123949,0,0,0,0,0
S233@upi,YBL,42,2,1,3926.3318474730654,2847.747819567684,0,0,0,1,0
S234@upi,YBL,260,1,2,3627.15712021709,1583.9742034777298,0,0,0,1,0
S235@upi,YBL,121,3,2,4821.352216478474,3346.3777181920636,0,0,0,1,0
S236@upi,YBL,204,5,1,17145.464495394233,1891.7961574181327,0,0,1,0,0
S237@upi,YBL,232,2,1,8184.6941075345785,4324.14831955778,0,0,0,1,0
S238@upi,AXIS,27,5,2,11707.602107685207,4078.066700907328,0,0,1,0,0
S239@upi,ICICI,142,29,8,137678.36443104103,4012.912607817621,1,1,0,1,1
S240@upi,HDFC,284,39,16,75302.55684903727,1046.4692087306728,1,1,0,1,1
S241@upi,AXIS,87,3,1,5919.098369938922,4529.686748028195,0,0,0,0,0
S242@upi,HDFC,174,1,1,2293.599255060415,2457.0182134872703,0,0,0,0,0
S243@upi,ICICI,359,3,1,11602.962834296348,2099.113766378304,0,0,0,0,0
S244@upi,AXIS,161,1,2,3361.1660561640083,3320.765427725369,0,0,1,0,0
S245@upi,AXIS,360,3,2,9238.706362725205,3313.248331059411,0,0,0,1,0
S246@upi,ICICI,138,2,2,2915.1139425053457,3735.044162265683,0,0,0,1,0
S247@upi,ICICI,273,5,2,21433.966385069052,4030.824658186348,0,0,0,1,0
S248@upi,SBI,247,5,1,13122.890131485792,4919.948763957502,0,0,1,1,0
S249@upi,YBL,270,2,2,9629.951021065921,1518.9015182233177,0,0,1,1,0
S250@upi,AXIS,184,1,2,4092.8087321482326,1575.07369817893,0,0,1,1,0
S251@upi,SBI,28,3,1,12280.304363264699,3327.0463886866987,0,0,1,1,0
S252@upi,HDFC,334,1,2,3514.426358939018,2919.0224846334995,0,0,1,1,0
S253@upi,HDFC,41,1,2,2424.685732120346,3372.3617961409545,0,0,0,0,0
S254@upi,AXIS,104,5,1,21377.78055555953,3557.6127836388446,0,0,0,1,0
S255@upi,AXIS,163,35,19,135379.90186259866,1600.6011908889782,1,1,0,1,1
S256@upi,YBL,59,5,1,19160.1487283804,2332.986583184117,0,0,1,1,0
S257@upi,AXIS,254,25,9,73139.24072045444,4803.191963905094,1,1,1,1,1
S258@upi,YBL,44,30,13,71247.09506894446,2236.859877057108,1,1,0,1,1
S259@upi,YBL,196,3,2,12021.163648251235,2267.8894901300764,0,0,0,1,0
S260@upi,HDFC,359,5,2,16824.805979492,2554.7106290323263,0,0,1,1,0
S261@upi,YBL,8,4,1,10271.691590123308,3050.1380905698175,0,0,0,1,0
S262@upi,AXIS,226,2,2,7036.268734151361,4869.74660398558,0,0,0,1,0
S263@upi,YBL,168,4,1,13001.323163759633,2867.1630884668693,0,0,1,1,0
S264@upi,AXIS,42,31,16,80506.37908331881,4037.9313336202617,1,1,0,0,1
S265@upi,ICICI,128,5,2,8936.939322383698,3074.1543345793434,0,0,0,0,0
S266@upi,YBL,27,1,1,4079.160684578509,1102.0280108186512,0,0,0,0,0
S267@upi,HDFC,6,1,1,1959.175364869946,3543.224254851067,0,0,1,1,0
S268@upi,ICICI,306,35,13,40580.008708492715,2744.684012618518,1,1,0,1,1
S269@upi,AXIS,35,5,2,23465.006185322767,1502.0192414585417,0,0,1,0,0
S270@upi,SBI,79,20,17,21474.958362815083,4881.542158763028,1,1,1,0,1
S271@upi,SBI,239,5,1,7617.869643595287,4052.685213623817,0,0,0,1,0
S272@upi,SBI,273,5,1,21801.62180797929,3173.432549986888,0,0,1,0,0
S273@upi,AXIS,78,23,16,33980.790127457,3518.5768311831494,1,1,0,0,1
S274@upi,SBI,354,4,2,13572.555902588008,3997.5080734037656,0,0,0,1,0
S275@upi,AXIS,254,2,2,4991.77586419056,3188.580599276137,0,0,0,0,0
S276@upi,AXIS,158,2,1,8475.384869193169,2965.5386902168802,0,0,1,1,0
S277@upi,YBL,102,15,16,32210.0335327326,2965.0831858188576,1,1,1,1,1
S278@upi,YBL,210,2,1,9471.53976543101,4415.447628687081,0,0,0,0,0
S279@upi,SBI,15,19,8,83378.35084416304,3047.5601329792817,1,1,0,0,1
S280@upi,ICICI,210,19,13,51160.319145376656,2038.5523501023831,1,1,0,1,1
S281@upi,AXIS,157,4,1,9098.20769266038,3930.183208454363,0,0,0,1,0
S282@upi,ICICI,217,1,2,3066.905749688594,4854.646069842898,0,0,0,0,0
S283@upi,ICICI,330,1,2,4387.6172747777855,4005.610138370862,0,0,1,0,0
S284@upi,ICICI,202,1,1,3250.282086762304,3954.4744742885528,0,0,0,1,0
S285@upi,ICICI,198,4,2,8141.398441439357,4879.190380899332,0,0,0,1,0
S286@upi,HDFC,27,1,2,2569.051845635983,2711.5177713197045,0,0,1,1,0
S287@upi,AXIS,42,4,2,4480.263786089426,3868.853508247766,0,0,0,0,0
S288@upi,SBI,324,4,2,9870.709159737147,1976.6703485110777,0,0,1,0,0
S289@upi,ICICI,324,5,2,24360.379218928916,3335.8345045796345,0,0,1,1,0
S290@upi,HDFC,118,3,2,5258.824796590017,3423.195315344537,0,0,1,0,0
S291@upi,SBI,74,3,2,13340.467779798248,4395.290473371857,0,0,1,0,0
S292@upi,YBL,116,4,2,10752.043279682848,2414.1561134272006,0,0,0,0,0
S293@upi,AXIS,85,1,2,3385.9021105200986,3367.7705080554742,0,0,0,0,0
S294@upi,ICICI,110,4,1,12611.190242180312,2911.8064302587973,0,0,0,0,0
S295@upi,YBL,92,18,15,29303.2818565029,4267.333487537822,1,1,1,0,1
S296@upi,SBI,181,4,2,7676.897424342598,2530.137498897831,0,0,0,1,0
S297@upi,ICICI,257,2,1,7392.358862354673,2616.529610870812,0,0,0,0,0
S298@upi,SBI,287,5,1,15174.862347411754,2441.2849620714287,0,0,0,1,0
S299@upi,ICICI,193,27,10,45675.96338359,1531.1489591370896,1,1,0,1,1
S300@upi,ICICI,194,28,10,53393.562661886535,2116.3497958910457,1,1,0,1,1
S301@upi,HDFC,101,1,2,2155.1180299092202,4268.0012670762935,0,0,0,0,0
S302@upi,ICICI,267,5,1,13814.058602216,4006.258464011992,0,0,1,1,0
S303@upi,AXIS,6,5,1,21725.983827308468,4245.624852073748,0,0,0,1,0
S304@upi,SBI,334,16,15,30166.41549231532,3465.724161578477,1,1,1,0,1
S305@upi,SBI,201,5,2,23868.559804567667,3456.249246863523,0,0,0,0,0
S306@upi,AXIS,188,3,1,5585.219617887356,2934.279397216551,0,0,0,1,0
S307@upi,YBL,6,4,1,19095.527531145748,3290.3781821757652,0,0,0,1,0
S308@upi,AXIS,309,3,1,8987.533299828188,4831.696800963182,0,0,1,0,0
S309@upi,SBI,65,2,1,2429.780127297124,2734.2194701224826,0,0,0,0,0
S310@upi,AXIS,221,4,1,9074.241115481658,2387.81094450619,0,0,1,0,0
S311@upi,YBL,342,5,2,16437.246262374145,4087.7214227644176,0,0,1,0,0
S312@upi,AXIS,135,29,12,112556.5235707185,3278.469667821166,1,1,0,0,1
S313@upi,SBI,357,5,2,18461.260740015718,3716.728078534616,0,0,0,1,0
S314@upi,AXIS,158,5,1,10165.477619047288,3501.5468473573774,0,0,1,1,0
S315@upi,HDFC,86,3,2,9275.562744768631,2178.5689161775244,0,0,0,1,0
S316@upi,HDFC,150,16,8,28538.19640117021,2925.467978026848,1,1,0,1,1
S317@upi,ICICI,319,3,1,7908.407773560014,1884.5463508500543,0,0,1,0,0
