user_id,age,account_age_days,kyc_level,device_count,incoming_txn_count_24h,incoming_total_amount_24h,unique_senders_24h,avg_incoming_amount,incoming_peak_hour,outgoing_txn_count_24h,outgoing_total_amount_24h,forwarding_ratio,avg_time_gap_in_out_min,same_day_forward_flag,imps_usage_flag,cross_bank_transfer_flag,rapid_forward_flag,high_velocity_flag,lien_marked_flag,freeze_flag,complaint_flag,is_mule_account
U20,19,167,1,2,11,51254.03316969973,7,2480.6348010217775,8,10,48122.87388095813,0.9161850132632903,9.427766985176223,1,0,1,1,1,1,1,1,1
U21,20,170,3,2,2,4981.494936752395,1,2578.765867237889,21,2,7568.238373399784,0.38908599312677594,529.4445386243328,0,1,1,0,0,0,0,0,0
U22,18,282,1,1,4,15239.745343793747,2,2437.964604879021,9,2,8474.88924382811,0.39701615503127907,187.24032731353154,0,1,1,0,0,0,0,0,0
U23,16,273,2,2,20,24061.482483151754,14,4546.46859580264,14,20,50046.636211195524,0.8902729330436959,24.95737947416938,1,1,1,1,1,1,1,1,1
U24,20,159,2,2,3,3366.002999268593,1,1149.3927549968575,5,1,2213.0620586928912,0.1984458002424196,194.4199760293172,0,1,0,0,0,0,0,0,0
U25,19,271,1,2,1,3125.418526272592,1,3162.540486440426,22,0,0.0,0.1814628747459226,583.3208785875695,0,1,0,0,0,0,0,0,0
U26,18,101,2,1,2,4006.88421877329,2,1737.3346973254802,22,1,2713.257899760431,0.19688694188237382,501.68937348897776,0,1,0,0,0,0,0,0,0
U27,16,246,1,1,1,4819.461122652776,2,3951.587666783074,4,1,3446.8829849374088,0.1469311128013258,240.11659111900576,0,1,1,0,0,0,0,0,0
U28,19,78,3,1,4,8982.612950260707,2,4918.042114486034,4,2,5793.390632698602,0.32735383313931077,126.90887454228282,0,0,0,0,0,0,0,0,0
U29,20,32,2,2,4,19186.331705462173,1,4546.721549192191,19,2,4996.90091701177,0.20389129632682026,343.0434302110135,0,1,0,0,0,0,0,0,0
U30,17,169,3,2,2,6603.793423007031,2,2552.679704826088,0,0,0.0,0.2618132345200188,448.30260931110774,0,0,1,0,0,0,0,0,0
U31,18,53,1,1,1,1858.3564788334966,2,2509.0363329119036,18,2,6946.031074703143,0.34612805313138045,432.7126904917382,0,0,1,0,0,0,0,0,0
U32,17,124,1,1,2,2945.3186209732503,2,3786.9486614566026,12,0,0.0,0.3534625932908364,131.1705291531964,0,1,0,0,0,0,0,0,0
U33,16,201,3,1,1,3926.591021198561,1,1510.7589176898623,16,0,0.0,0.18461037177139195,205.17098101426694,0,1,0,0,0,0,0,0,0
U34,16,364,1,2,2,9220.423253436533,2,3021.0094897914287,15,0,0.0,0.17157905793710207,446.32549435211797,0,1,1,0,0,0,0,0,0
U35,19,215,3,2,3,8790.25139571171,1,2972.10263108722,15,0,0.0,0.37161459292577914,163.81760485734412,0,0,1,0,0,0,0,0,0
U36,16,48,1,1,1,2977.681218810326,2,1230.235040066577,4,2,7896.284454328071,0.16381836850726872,574.1733805832114,0,0,1,0,0,0,0,0,0
U37,19,262,2,1,3,8113.097700563294,2,1890.3056702841222,8,2,8574.88047432285,0.14289750461585077,485.52510322438667,0,0,0,0,0,0,0,0,0
U38,16,351,1,1,12,55569.297904730214,9,3367.5549552851376,3,11,27555.421763360293,0.9775951241302115,14.356769893903008,1,1,1,1,1,1,1,1,1
U39,18,48,2,1,1,2014.7286954925548,2,2620.8083471256687,19,1,1475.2716650722878,0.311525309288998,239.3875941265382,0,0,0,0,0,0,0,0,0
U40,16,200,1,1,1,4474.396512757841,1,1894.3833540778105,5,0,0.0,0.30431182812907276,234.00310622038558,0,1,1,0,0,0,0,0,0
U41,20,173,3,1,20,97544.20284952792,9,3092.3913766805954,8,19,35477.492100573334,0.8949861996355339,29.82411990298251,1,1,0,1,1,1,1,1,1
U42,16,21,2,2,1,1231.4555910308295,1,2578.0871944325195,20,1,2109.524731924531,0.27529429357693014,552.5558450356748,0,1,0,0,0,0,0,0,0
U43,20,50,3,2,2,2258.527608877204,2,2119.054028675783,20,1,4255.180078827794,0.16881842371148492,247.65020398283468,0,1,1,0,0,0,0,0,0
U44,18,265,1,1,1,4676.7062073422385,1,1330.9936801412246,17,1,3206.35149017628,0.12286011387974896,571.4552770249841,0,0,0,0,0,0,0,0,0
U45,16,276,1,2,4,10094.253706096344,1,4879.657591258412,16,1,4353.314818844552,0.34316599923454993,593.8925420711734,0,0,0,0,0,0,0,0,0
U46,19,206,3,1,3,14959.642044886863,1,3221.7268224105096,4,0,0.0,0.10410158944809919,156.1723489691819,0,0,0,0,0,0,0,0,0
U47,20,214,2,1,24,88483.26570296224,9,3472.512961831583,7,23,25040.996266787748,0.8369081591311746,11.286060987794961,1,1,1,1,1,1,1,1,1
U48,19,231,3,1,2,6719.647177101088,2,2920.1838680739006,22,2,8041.098045388952,0.25604905033359804,529.0471201528992,0,1,1,0,0,0,0,0,0
U49,17,303,2,2,2,7093.15457297826,1,3219.2624341689025,18,2,9233.269555949988,0.3709453176029879,416.28658180670016,0,0,0,0,0,0,0,0,0
U50,18,90,1,1,2,3176.5878474323035,1,4706.350500645978,9,2,8151.34193052318,0.21896283469638106,418.6016161093793,0,1,1,0,0,0,0,0,0
U51,18,52,3,1,1,3149.0536668562804,2,2840.4766359342884,15,1,1607.6107740491775,0.2477854281978609,277.80077293800395,0,1,1,0,0,0,0,0,0
U52,20,169,2,1,4,7076.624300938733,2,1163.4744650659154,4,0,0.0,0.36903652297180356,347.50158732617876,0,1,0,0,0,0,0,0,0
U53,17,55,2,1,2,6027.338166838856,1,3761.579314517461,8,1,1369.1623449149843,0.13619076133018027,341.1738086557084,0,0,1,0,0,0,0,0,0
U54,16,35,1,2,2,7986.077523069267,1,1738.0840774255093,14,1,3146.36258394933,0.14709330481485813,301.0972633161948,0,0,1,0,0,0,0,0,0
U55,20,163,2,1,21,42204.70332489774,14,3853.3983435382097,14,20,87555.25381069031,0.866404455122559,16.563367903328697,1,0,1,1,1,1,1,1,1
U56,16,128,1,2,20,21605.69582221811,6,2288.3166623327133,6,19,25779.52898211627,0.8637464007427627,14.929095812602062,1,0,1,1,1,1,1,1,1
U57,18,242,1,2,1,1347.6811523496947,1,3148.426167274191,1,0,0.0,0.27807773606621466,445.969113189355,0,0,0,0,0,0,0,0,0
U58,17,329,2,1,4,9697.54761436554,1,4946.060995171919,4,1,4734.767295039499,0.18513277173961734,294.2795022713449,0,1,1,0,0,0,0,0,0
U59,18,327,2,1,1,1222.6139574279014,2,4369.256141192726,2,1,3098.0455582810187,0.17378731851535245,197.12705916458674,0,1,1,0,0,0,0,0,0
U60,18,13,3,2,4,19601.074607122282,2,2962.995117035138,5,2,7349.145759395448,0.3689830788922063,396.47924054671677,0,1,1,0,0,0,0,0,0
U61,17,127,3,2,22,66669.71332423206,12,1969.638929660321,14,21,80407.32803413334,0.8503962368588511,24.23732332979842,1,1,0,1,1,1,1,1,1
U62,18,268,1,2,13,30503.422466083874,9,1537.658707755897,22,12,38348.25503467091,0.8277852887493564,17.028502546370436,1,1,0,1,1,1,1,1,1
U63,16,47,3,1,4,9581.892264687925,2,4718.116576991303,11,0,0.0,0.14164743203260613,121.30123171887824,0,1,1,0,0,0,0,0,0
U64,19,329,1,2,18,77611.74387677942,13,4002.0076990612542,2,17,28170.07425930752,0.8326219519098188,6.662406684169437,1,1,1,1,1,1,1,1,1
U65,16,305,3,2,21,52663.33207169224,14,2850.7191426784257,5,20,63182.48495317064,0.8645894871422305,26.930013520327705,1,0,0,1,1,1,1,1,1
U66,20,113,3,1,1,1467.5921628334563,1,4759.328494453901,6,0,0.0,0.36987237198237055,304.2677862591415,0,1,1,0,0,0,0,0,0
U67,18,166,2,1,4,8987.553084728772,1,1993.9565592578629,22,2,3145.023884387757,0.2860218267785541,376.06132414863436,0,1,1,0,0,0,0,0,0
U68,20,168,3,2,2,5656.001754253426,2,3415.83148829005,14,0,0.0,0.3630296910285249,284.1992393836356,0,1,0,0,0,0,0,0,0
U69,18,301,2,1,3,10188.352377327918,2,4307.1953112363135,9,0,0.0,0.3160109609638223,427.7508637849427,0,1,1,0,0,0,0,0,0
U70,20,113,2,2,3,10337.450825215774,1,1072.440735283362,10,1,4728.473129934449,0.38418500188354465,193.6086734957185,0,1,0,0,0,0,0,0,0
U71,19,296,2,1,4,10786.090740838175,1,3945.7769424988915,7,0,0.0,0.31217159029401964,193.21874059884544,0,1,0,0,0,0,0,0,0
U72,16,10,3,2,8,24602.81782803431,9,3365.101742979717,20,8,20137.78234833756,0.8297936918661122,9.658021987353017,1,1,0,1,1,1,1,1,1
U73,19,34,2,1,17,79761.29576229698,8,2862.800489275253,1,17,79454.92129587248,0.8008337641408285,13.337479292278605,1,1,1,1,1,1,1,1,1
U74,19,207,1,2,3,6737.678053593089,2,4121.982830184351,10,2,7058.114303356243,0.14225710611393996,204.6657535229872,0,0,1,0,0,0,0,0,0
U75,19,127,2,2,1,3140.2788757346343,1,1737.8514856754243,6,2,6763.08013856035,0.3926623947048269,340.3147142481663,0,1,0,0,0,0,0,0,0
U76,20,314,1,1,3,8664.803341319992,1,3259.3645330504655,17,2,4352.357433767773,0.33993460662228087,287.70575954367985,0,1,1,0,0,0,0,0,0
U77,18,328,1,2,9,40024.28235648663,10,4784.461848534531,9,8,16663.82954059372,0.8865958307097654,17.425298720531224,1,1,1,1,1,1,1,1,1
U78,20,17,1,1,4,7551.554590927191,1,1924.2991863522857,7,2,2832.8686558765908,0.3936794306847884,523.0986525391538,0,1,0,0,0,0,0,0,0
U79,18,105,2,2,10,44227.858724251426,7,4320.879458267967,3,10,47776.389023090946,0.9002098852610059,23.020327407762665,1,0,0,1,1,1,1,1,1
U80,16,160,1,1,2,2982.215117301668,1,4505.776303501176,17,2,9141.373688615799,0.368900745556336,126.2409232851533,0,0,0,0,0,0,0,0,0
U81,19,29,1,1,18,47477.638957769304,14,3208.188723407921,1,18,79996.89743817996,0.868344633470108,19.757373562870193,1,0,1,1,1,1,1,1,1
U82,16,124,1,2,2,7933.495553829324,2,3795.3834126436177,6,0,0.0,0.3605403927693739,353.96697515976655,0,1,1,0,0,0,0,0,0
U83,20,84,2,2,2,6237.293429240649,2,4260.217713609829,8,1,2096.220882748824,0.2577070546908058,202.40605720718568,0,0,0,0,0,0,0,0,0
U84,20,36,1,1,1,4495.560310250061,2,3389.6524086812333,11,1,3532.3922534297903,0.3160607744896888,171.15779046176368,0,1,0,0,0,0,0,0,0
U85,17,55,2,2,2,9669.017418505766,1,1737.4836827158529,20,0,0.0,0.22563115746762197,303.9064935597588,0,1,1,0,0,0,0,0,0
U86,18,319,2,1,1,3654.6846614505926,1,4747.318957299032,4,2,5870.039535459302,0.20670181493948475,465.14203448843784,0,1,0,0,0,0,0,0,0
U87,18,210,2,2,3,4279.179037605261,2,1300.551126943235,16,2,5302.348404854018,0.27852337921007647,144.68439047244016,0,0,1,0,0,0,0,0,0
U88,20,117,3,2,15,15315.229113503096,14,1412.3749840549794,4,15,20494.92439959805,0.8443523659830392,25.477557941854993,1,0,0,1,1,1,1,1,1
U89,18,273,3,1,24,96867.44117172959,14,3896.4133170925543,15,24,105522.78255027064,0.880281039132432,9.628323220965491,1,0,1,1,1,1,1,1,1
U90,17,56,2,2,1,4700.993269662664,2,1722.3013805093342,20,2,5785.680944650667,0.30795256343707744,144.7659871961808,0,0,1,0,0,0,0,0,0
U91,17,324,3,1,3,8690.570599889565,1,4448.170603957254,6,2,5641.1494802892485,0.18920470221176525,563.7101737807345,0,1,1,0,0,0,0,0,0
U92,19,310,2,1,3,11355.465310537676,1,2359.499855072265,22,1,2617.941798727403,0.27888096354461595,230.40424189809747,0,1,0,0,0,0,0,0,0
U93,16,25,1,2,4,18026.646045799193,1,2670.0243361115686,2,0,0.0,0.2984965525241625,474.170768115132,0,0,0,0,0,0,0,0,0
U94,18,48,2,2,3,3632.206031726743,1,1354.1736424544727,20,0,0.0,0.21518916697591775,567.6431565241214,0,1,0,0,0,0,0,0,0
U95,19,74,2,1,4,5767.585810102315,1,2418.488630563106,17,0,0.0,0.33048202415935546,320.5280554403202,0,0,0,0,0,0,0,0,0
U96,16,353,3,2,1,4191.957288573533,2,2035.9306064072546,5,0,0.0,0.3731017306172604,141.64832506575513,0,0,0,0,0,0,0,0,0
U97,19,358,3,2,18,61757.04923127785,6,3050.7540440660346,9,18,21380.065714642536,0.9338035081208523,6.624660237072351,1,1,0,1,1,1,1,1,1
U98,20,63,3,1,1,4535.143539853703,1,4711.009132780851,16,1,1695.580996877949,0.333875342070026,288.0601244000304,0,0,0,0,0,0,0,0,0
U99,18,278,1,1,2,2278.921281870599,2,4579.685764911359,4,1,1365.9473495910195,0.3989007327420173,550.7693510621779,0,0,0,0,0,0,0,0,0
U100,16,49,1,1,10,39408.506180938115,13,2125.5638423101072,14,10,10203.285592721038,0.9720172696813556,26.553190431636267,1,1,1,1,1,1,1,1,1
U101,20,293,1,1,4,17619.3106247803,2,2980.586108055897,18,1,4298.723863700597,0.12431386477229439,225.68793693590945,0,1,1,0,0,0,0,0,0
U102,18,345,1,1,2,8938.353607678418,2,3833.451906860139,10,2,3909.52025040814,0.35934786409220454,472.27676109777684,0,1,0,0,0,0,0,0,0
U103,17,258,3,1,11,47335.937024849554,10,1515.4794698937808,10,10,19145.00646099694,0.8285489189527533,27.02176897997321,1,1,1,1,1,1,1,1,1
U104,17,233,1,2,11,25363.077366144887,6,3239.377249235318,7,10,20392.14324256639,0.9361944446812882,11.467208267447699,1,0,1,1,1,1,1,1,1
U105,17,242,2,1,4,10274.419383123146,1,1717.9892936953336,4,2,2820.077823925434,0.13853461542795742,256.0046151674792,0,1,0,0,0,0,0,0,0
U106,16,202,2,2,11,14286.554381345577,6,4409.658636794591,13,10,48939.55876709588,0.854173442050427,22.70430221613204,1,1,1,1,1,1,1,1,1
U107,18,42,2,1,11,32500.300377805295,7,4081.629671231173,22,10,27836.10825506993,0.936487375267224,5.614672911470038,1,0,0,1,1,1,1,1,1
U108,20,166,3,2,1,4359.788658689888,2,4091.291120067218,19,0,0.0,0.1306580859081157,530.0206917415517,0,1,1,0,0,0,0,0,0
U109,18,93,2,1,1,2096.86080939468,2,4935.9105918393125,0,0,0.0,0.3830847760502797,321.4691121245387,0,0,1,0,0,0,0,0,0
U110,17,280,3,2,9,14732.84657805352,7,1814.8049971050968,20,8,12917.057221155606,0.9562621064282956,22.873101005056192,1,0,1,1,1,1,1,1,1
U111,20,33,2,1,2,3483.6709974132345,2,2848.3891630626426,13,2,6786.618120979416,0.2878660964894246,182.99754128754603,0,0,1,0,0,0,0,0,0
U112,20,126,2,2,4,10931.94798354649,2,4937.405629611616,16,0,0.0,0.16015741801010103,355.9653824358897,0,1,1,0,0,0,0,0,0
U113,18,310,1,1,4,19242.37820861947,2,4631.274611938561,10,1,2922.0277890313155,0.39240995556120706,466.5060614049288,0,1,1,0,0,0,0,0,0
U114,19,157,1,2,1,4103.218943171824,2,4764.950016929546,0,0,0.0,0.27127135055324936,128.8164657314592,0,1,1,0,0,0,0,0,0
U115,17,175,3,2,1,3757.859876549063,2,4202.346796436332,1,0,0.0,0.3473542140690502,291.74464844557025,0,0,1,0,0,0,0,0,0
U116,16,232,1,2,4,18963.229044791355,1,4789.401850524155,19,0,0.0,0.3119427179460704,135.16134951630818,0,0,1,0,0,0,0,0,0
U117,17,12,3,1,14,23183.970935411846,8,2754.4288659581534,17,13,16138.308367509318,0.8985666277076725,25.432444249062343,1,1,0,1,1,1,1,1,1
U118,19,182,1,1,1,2734.6213358255554,1,1174.6466308294448,11,0,0.0,0.2847226065826729,277.9283701510378,0,0,1,0,0,0,0,0,0
U119,18,44,1,1,12,32083.18985604733,12,1814.3131213689708,6,12,34205.90192348718,0.8887898324210839,7.038162238810667,1,0,1,1,1,1,1,1,1
U120,17,186,3,2,12,40226.802148323804,8,1117.5777830260292,1,11,32413.43342268692,0.8667869773372285,29.691239093401446,1,0,1,1,1,1,1,1,1
U121,17,255,1,2,9,22818.497467240668,8,2863.251228080994,20,8,31459.61671728899,0.9179016809897795,29.803332908516808,1,0,0,1,1,1,1,1,1
U122,17,302,1,2,4,11876.445703168556,2,1988.9242976127082,14,1,3371.6735993271272,0.1539049326610726,234.02079596346127,0,1,0,0,0,0,0,0,0
U123,16,37,2,1,4,14507.786632660675,2,2300.7602568987795,7,2,6789.711840800861,0.14905716177550685,307.71913759284513,0,0,1,0,0,0,0,0,0
U124,17,102,2,2,3,12946.600390591313,1,2723.550094647224,19,2,6703.074968883096,0.1708151390039392,155.27843871840608,0,0,1,0,0,0,0,0,0
U125,16,129,3,1,18,58186.09797075813,9,3159.62335800885,19,18,37421.97202922325,0.9194848149719249,16.865771893745347,1,0,0,1,1,1,1,1,1
U126,20,254,3,1,3,4239.707485488188,1,3338.682801770355,11,1,1593.3728038483555,0.1118030622005529,178.61275872481286,0,0,0,0,0,0,0,0,0
U127,18,187,3,2,18,56321.63919549354,6,1502.9660472265953,12,18,28335.050066836287,0.9150415888067901,26.697957363000555,1,0,0,1,1,1,1,1,1
U128,20,95,3,2,15,54697.94102226881,6,4914.525149602121,10,15,55994.88169737875,0.8169021288420953,21.815052955628158,1,1,1,1,1,1,1,1,1
U129,16,311,1,1,1,1862.7006095908687,2,3635.541880930629,20,2,7335.772135927258,0.27118292399164895,134.5857886544817,0,1,1,0,0,0,0,0,0
U130,16,170,1,1,2,8966.027602698072,2,4129.541936233094,12,1,2154.7423821225525,0.39982411773119997,143.1417786530669,0,1,0,0,0,0,0,0,0
U131,17,91,1,1,2,4537.565734123189,1,4475.6025021622845,0,1,1480.8362214824338,0.19810994846897162,440.44482507052066,0,0,1,0,0,0,0,0,0
U132,20,325,1,1,1,3385.941899941686,1,3182.747553981894,2,2,3818.157018105212,0.2890626244987433,412.71926663937336,0,1,1,0,0,0,0,0,0
U133,16,12,1,2,3,14417.742715991895,2,4388.669445490297,20,1,4255.065153278346,0.2927727906841569,484.48527740297567,0,1,1,0,0,0,0,0,0
U134,18,352,2,2,1,3872.4923049059776,2,4822.094783819739,12,0,0.0,0.1738208976393995,348.8138280197564,0,0,0,0,0,0,0,0,0
U135,18,60,3,2,4,18950.97642888823,1,2406.4907489585376,1,0,0.0,0.36940916468499607,236.87150235662364,0,1,1,0,0,0,0,0,0
U136,18,145,2,2,1,3870.543143634518,2,2599.620827216625,12,1,2654.196406101406,0.19218698947788598,505.45243095967845,0,1,1,0,0,0,0,0,0
U137,16,307,2,1,3,12788.98372205137,1,2494.0387321535504,12,2,7065.211004752179,0.3578247379841768,503.8949258035304,0,1,0,0,0,0,0,0,0
U138,16,134,2,2,16,65276.46081610745,14,3226.548231746869,4,16,35331.87211742689,0.9163890644161148,9.36933607068443,1,1,1,1,1,1,1,1,1
U139,17,251,1,1,11,21350.365731287333,11,4477.03849860421,0,10,18669.592003631027,0.9457153956383195,24.16640338001015,1,1,0,1,1,1,1,1,1
U140,18,147,1,2,4,14112.247776326696,1,1233.8184564342157,1,2,4196.322032001003,0.169073850528361,218.9693589688447,0,0,1,0,0,0,0,0,0
U141,16,289,2,1,2,6825.755281706978,1,2348.9085310216815,6,1,4090.49090979753,0.22845988447768445,464.4469275159246,0,0,0,0,0,0,0,0,0
U142,16,205,1,1,1,4327.452453005688,1,3678.4104645358475,11,2,3869.696655283464,0.22035637421169482,296.1389180183043,0,1,1,0,0,0,0,0,0
U143,17,268,2,2,2,2418.7110062920665,2,2513.9056939434763,5,1,3231.1336694801,0.3040395793310354,230.7980107939258,0,1,0,0,0,0,0,0,0
U144,20,296,3,1,15,25228.676290435054,10,2637.9114120208155,22,14,56345.14641813378,0.8159781309393983,29.04164339887033,1,0,1,1,1,1,1,1,1
U145,19,124,2,1,4,15794.88360011589,2,4074.3992191540337,0,2,8736.26635501137,0.37815334584383586,232.62819929061772,0,1,0,0,0,0,0,0,0
U146,20,281,2,2,2,7669.957581943811,2,1144.6415220990484,0,1,1909.4292003843952,0.33637059648767953,535.0493721760993,0,1,1,0,0,0,0,0,0
U147,18,332,2,1,1,4769.5480764089325,1,4493.346646895391,5,1,4677.567892857669,0.3810873469093189,385.82507554194063,0,0,0,0,0,0,0,0,0
U148,16,51,2,2,2,7023.600422181086,2,3697.2152256361937,9,0,0.0,0.21731282891745235,360.5534396073647,0,1,1,0,0,0,0,0,0
U149,18,75,3,2,23,43572.52797366063,11,4829.291551578349,17,22,78405.54280638922,0.9473723007333686,13.063199446160379,1,1,1,1,1,1,1,1,1
U150,20,34,1,1,8,11896.381156008792,8,2912.936092192289,3,8,12325.321252954327,0.8876711453874084,20.156323443774436,1,1,1,1,1,1,1,1,1
U151,20,52,2,2,19,68415.28302225965,8,1608.0994125145926,18,18,58639.75852887954,0.849995472274867,26.286215938781634,1,1,1,1,1,1,1,1,1
U152,16,92,1,1,1,1298.5192573483268,2,4130.784162976597,13,1,1404.1832440425867,0.39845989515093017,147.73466927825598,0,0,0,0,0,0,0,0,0
U153,19,317,1,2,4,14491.5787609865,1,4392.063540997606,17,2,3045.683013921596,0.1686683814539841,231.6698585100869,0,1,1,0,0,0,0,0,0
U154,20,95,1,2,10,19943.21030859768,11,1535.2149451179548,20,10,10767.691072922265,0.8745433554552069,25.688447389171856,1,1,0,1,1,1,1,1,1
U155,20,222,2,2,2,7034.390448085889,1,1795.4251111011836,4,1,4838.306577284134,0.15690845445240317,417.09513264370634,0,0,1,0,0,0,0,0,0
U156,20,291,2,2,3,13375.92470568501,1,1973.911873619469,17,2,5808.145034950132,0.23631320036798828,525.2913997150156,0,0,1,0,0,0,0,0,0
U157,16,114,1,2,4,9046.510331968204,1,3752.5388243461684,15,1,2018.6824881842047,0.2177181164585424,578.9866515114952,0,0,0,0,0,0,0,0,0
U158,18,223,1,1,15,68363.45496773066,9,2802.4786269190317,12,14,22409.464045754332,0.9146962658254905,21.483848055144566,1,0,0,1,1,1,1,1,1
U159,18,118,3,2,8,11371.76108648979,11,1142.2834681421934,19,8,31600.26750268822,0.8086095476709391,5.950546205936373,1,1,0,1,1,1,1,1,1
U160,18,37,3,1,2,5297.047442102173,2,3198.464174875698,21,2,8114.9812977738875,0.39122498730120114,572.3113870431325,0,0,1,0,0,0,0,0,0
U161,16,338,2,1,2,3645.498097564441,1,1485.5456726376258,3,0,0.0,0.1886334332432261,489.22711096230415,0,0,0,0,0,0,0,0,0
U162,19,149,3,2,2,2911.653077714537,1,2944.0620119101595,15,1,4247.07915236055,0.36874437921156467,274.6634416534216,0,1,0,0,0,0,0,0,0
U163,16,162,3,2,3,8272.859876333427,2,3451.758329978102,21,2,4190.330460112852,0.1332423886539421,407.2951563284955,0,0,1,0,0,0,0,0,0
U164,17,41,2,1,19,85824.41815983571,7,2033.7264811672724,14,18,36161.353452482035,0.8022886801976409,29.810385012236754,1,0,0,1,1,1,1,1,1
U165,18,265,2,2,15,74080.1843714705,12,4749.5522659884755,12,14,23229.629680848477,0.9397605403699505,21.404045942026787,1,1,0,1,1,1,1,1,1
U166,19,287,3,1,3,10084.172285505276,2,3033.44218766512,21,2,6520.175942872129,0.38953892263809897,354.429182431171,0,0,0,0,0,0,0,0,0
U167,17,195,1,2,3,11717.540581356057,2,4967.239805397454,7,2,3551.630938142199,0.3631415324534213,328.22424588229046,0,1,1,0,0,0,0,0,0
U168,18,75,1,2,9,37216.50424147431,13,3216.9060565280665,21,8,35137.5293161847,0.9336226491030517,25.377959612009196,1,1,0,1,1,1,1,1,1
U169,16,29,3,2,19,30315.491825265795,5,2222.4168619608595,18,18,89736.07230916181,0.8364465008297428,28.951837002984504,1,1,0,1,1,1,1,1,1
U170,20,239,1,2,1,3782.4725859872274,2,1012.8730544171148,5,1,1667.5404714194838,0.3658587341395224,404.6612804096564,0,0,0,0,0,0,0,0,0
U171,18,225,1,2,1,1901.7550218547754,2,3811.773763914707,1,0,0.0,0.2764606800845172,350.8669871453394,0,1,0,0,0,0,0,0,0
U172,20,85,2,2,4,15322.894955854652,2,4154.459858689626,18,2,5521.591983643924,0.24947670467903613,156.98797398447897,0,0,1,0,0,0,0,0,0
U173,16,260,3,1,3,14980.170136715395,1,4732.45332537423,12,2,3387.840594127658,0.17075727974310614,298.282560899062,0,0,1,0,0,0,0,0,0
